Name,Platform,Year,Genre,Publisher,ID,Date
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,5393,01/09/2000
NHL 2K3,GC,2002,Sports,Sega,20644,14/01/2002
Supreme Commander,X360,2008,Strategy,505 Games,16068,26/12/2008
MLB,PSP,2005,Sports,Sony Computer Entertainment,11788,05/04/2005
Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,Adventure,Alchemist,20328,06/06/2006
The Hobbit,PS2,2003,Platform,Vivendi Games,8750,02/04/2003
Top Spin 3,X360,2008,Action,Take-Two Interactive,8556,26/10/2008
Olympic Summer Games: Atlanta 1996,PS,1996,Sports,U.S. Gold,15583,14/01/1996
ESPN MLB Baseball,PS2,2004,Sports,Sega,12566,25/05/2004
The Sims,PS2,2003,Simulation,Electronic Arts,5541,12/02/2003
Ben 10 Ultimate Alien: Cosmic Destruction,PSP,2010,Platform,D3Publisher,11836,17/02/2010
Rock Band Track Pack: Classic Rock,X360,2009,Misc,MTV Games,16953,15/11/2009
The Simpsons Game,DS,2007,Action,Electronic Arts,6220,28/03/2007
Balloon Pop,DS,2009,Puzzle,UFO Interactive,14036,19/02/2009
Colin McRae Rally 04,PC,2004,Racing,Codemasters,21375,16/08/2004
Hellboy: The Science of Evil,PSP,2008,Action,Konami Digital Entertainment,18661,24/10/2008
Winning Post 4,PS,1999,Sports,Tecmo Koei,13890,12/02/1999
Radiata Stories,PS2,2005,Role-Playing,Square Enix,8100,21/10/2005
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,7857,03/12/2002
Gunstar Heroes,GEN,1992,Shooter,Sega,14561,21/01/1992
The Bee Game,DS,2007,Adventure,Midway Games,12988,14/08/2007
Defender,PS2,2002,Misc,Midway Games,9796,17/05/2002
Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Role-Playing,Square Enix,7162,10/12/2012
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016,Action,dramatic create,21589,21/08/2016
DEATH NOTE: L o Tsugu Mono,DS,2007,Adventure,Konami Digital Entertainment,19916,05/09/2007
The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994,Action,Banpresto,19898,05/01/1994
Nicktoons: Battle for Volcano Island,DS,2006,Action,THQ,10823,20/09/2006
The Sims 2: Bon Voyage,PC,2007,Simulation,Electronic Arts,19767,19/03/2007
Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,19945,09/10/2008
MySims Collection,Wii,2010,Misc,Electronic Arts,14229,01/08/2010
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,14076,15/07/2003
Tropico 4: Modern Times,PC,2012,Strategy,Kalypso Media,19993,14/07/2012
Bakugan: Rise of the Resistance,DS,2011,Strategy,Activision,16106,23/05/2011
The Land Before Time: Great Valley Racing Adventure,PS,2001,Racing,TDK Mediactive,15725,26/05/2001
Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,8420,17/08/2010
Little Battlers eXperience: Wars,3DS,2013,Strategy,Level 5,14629,22/03/2013
NASCAR 2001,PS2,2000,Racing,Electronic Arts,7927,05/02/2000
Yogi Bear: The Video Game,Wii,2010,Action,D3Publisher,14943,18/02/2010
Valkyria Chronicles,PS3,2008,Role-Playing,Sega,6536,05/04/2008
TigerShark,PS,1997,Simulation,GT Interactive,17114,09/06/1997
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,2007,Misc,Paon,15546,26/10/2007
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,20947,03/03/2013
Marvel Avengers: Battle for Earth,X360,2012,Action,Ubisoft,20529,21/06/2012
Buzz! The Hollywood Quiz,PS2,2007,Misc,Sony Computer Entertainment,7635,26/03/2007
And1 Streetball,PS2,2006,Action,Ubisoft,11432,21/03/2006
